PVALUE;PTN;XP;YP;ZP
13;11;7927.2;6486.4;425.0
13;12;8009.6;6489.3;425.0
13;13;8063.0;6497.9;425.0
13;14;8115.0;6502.3;425.0
13;15;8182.9;6497.9;425.0
13;16;8263.5;6535.3;425.0
13;17;8287.9;6497.2;425.0
13;18;8318.7;6460.4;425.0
13;19;8358.3;6428.3;425.0
13;20;8400.0;6410.2;425.0
14;1;7600.0;6959.8;430.0
14;2;7678.8;6950.8;430.0
14;3;7727.9;6933.5;430.0
14;4;7741.6;6933.6;430.0
14;5;7780.0;6963.6;430.0
14;6;7844.9;6946.5;430.0
14;7;7901.2;6933.5;430.0
14;8;7948.9;6936.4;430.0
14;9;7984.8;6936.1;430.0
14;10;8009.6;6956.6;430.0
14;11;8027.7;7000.0;430.0
15;1;7894.0;6200.0;430.0
15;2;7905.2;6221.8;430.0
15;3;7905.2;6252.7;430.0
15;4;7915.7;6272.9;430.0
15;5;7882.7;6307.5;430.0
15;6;7863.0;6320.1;430.0
15;7;7830.5;6353.7;430.0
15;8;7816.6;6393.2;430.0
15;9;7822.2;6410.1;430.0
15;10;7814.6;6437.4;430.0
15;11;7895.5;6476.3;430.0
15;12;7930.1;6469.1;430.0
15;13;8013.9;6473.4;430.0
15;14;8063.0;6480.6;430.0
15;15;8115.0;6483.5;430.0
15;16;8181.5;6479.2;430.0
15;17;8253.4;6504.0;430.0
15;18;8275.3;6463.5;430.0
15;19;8292.1;6450.8;430.0
15;20;8310.0;6428.7;430.0
15;21;8331.5;6405.8;430.0
15;22;8373.8;6380.6;430.0
15;23;8400.0;6352.8;430.0
16;1;7600.0;7000.0;433.0
16;2;7632.6;6988.4;433.0
16;3;7687.5;6985.5;433.0
16;4;7713.6;6968.8;433.0
16;5;7748.1;6981.1;433.0
16;6;7778.6;7000.2;433.0
16;7;7814.6;6991.2;433.0
16;8;7876.7;6989.8;433.0
16;9;7928.7;6975.4;433.0
16;10;7940.6;7000.0;433.0
17;1;7962.4;6200.0;436.0
17;2;7953.0;6221.8;436.0
17;3;7964.8;6267.1;436.0
17;4;7931.9;6306.1;436.0
17;5;7859.3;6363.8;436.0
17;6;7840.5;6384.8;436.0
17;7;7840.5;6407.3;436.0
17;8;7837.7;6425.8;436.0
17;9;7899.8;6451.8;436.0
17;10;8061.6;6457.5;436.0
17;11;8110.7;6461.9;436.0
17;12;8175.7;6460.4;436.0
